"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","input_shape","learning_rate","neurons_FC1","neurons_FC2","num_classes","optimizer","optimizer_type","epoch","global_step","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","trainer/global_step","val_acc","val_loss"
"rich-sweep-10","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:57:29.000Z","181","8p1anj8o","[3,32,32]","0.006686160828506342","760","203","10","adam","adam","5","7035","0.38510000705718994","1.6362061500549316","0.3800222277641296","0.3125","1.6615595817565918","1.872586727142334","7035","0.3824000060558319","1.6444875001907349"
"stellar-sweep-9","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:54:33.000Z","175","8p1anj8o","[3,32,32]","0.008074602919926318","543","326","10","adam","adam","5","7035","0.10000000149011612","2.303342342376709","0.10164444148540495","0.0625","2.303536891937256","2.3058032989501953","7035","0.1037999987602234","2.3033289909362793"
"neat-sweep-8","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:51:32.000Z","178","8p1anj8o","[3,32,32]","0.002813974525856458","734","205","10","sgd","sgd","5","7035","0.10180000215768814","2.3021786212921143","0.11257778108119965","0.09375","2.302276134490967","2.302664041519165","7035","0.09920000284910202","2.3023104667663574"
"daily-sweep-7","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:48:33.000Z","177","8p1anj8o","[3,32,32]","0.007837423057718413","661","87","10","adam","adam","5","7035","0.10000000149011612","2.3037524223327637","0.09648888558149338","0","2.303704023361206","2.3114190101623535","7035","0.10199999809265135","2.3043432235717773"
"zesty-sweep-6","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:45:41.000Z","170","8p1anj8o","[3,32,32]","0.005711338252782539","467","446","10","sgd","sgd","5","7035","0.2054000049829483","2.2670273780822754","0.21017777919769287","0.1875","2.29067063331604","2.25345516204834","7035","0.20280000567436215","2.267805576324463"
"lunar-sweep-5","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:42:44.000Z","173","8p1anj8o","[3,32,32]","0.0064565429466388845","654","322","10","sgd","sgd","5","7035","0.17640000581741333","2.294791460037231","0.14713333547115326","0.15625","2.2987821102142334","2.291645050048828","7035","0.16940000653266907","2.2949347496032715"
"eager-sweep-4","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:39:47.000Z","172","8p1anj8o","[3,32,32]","0.004004423962033167","269","152","10","sgd","sgd","5","7035","0.10540000349283218","2.301980972290039","0.11051110923290253","0.03125","2.302170753479004","2.3030104637145996","7035","0.10279999673366548","2.30214524269104"
"playful-sweep-3","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:36:55.000Z","170","8p1anj8o","[3,32,32]","0.0027447963288402166","747","129","10","adam","adam","5","7035","0.5515000224113464","1.2658607959747314","0.5743777751922607","0.59375","1.195775032043457","1.1108202934265137","7035","0.5522000193595886","1.2724215984344482"
"rich-sweep-2","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:33:58.000Z","172","8p1anj8o","[3,32,32]","0.0005779330685621494","701","360","10","adam","adam","5","7035","0.7289999723434448","0.7866915464401245","0.7839555740356445","0.65625","0.6169966459274292","0.8440281748771667","7035","0.7293999791145325","0.7942976355552673"
"sage-sweep-1","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T07:31:01.000Z","175","8p1anj8o","[3,32,32]","0.006408704427911986","340","297","10","adam","adam","5","7035","0.10000000149011612","2.304556369781494","0.10126666724681854","0.09375","2.303279399871826","2.304485559463501","7035","0.09359999746084212","2.3054981231689453"
